task_code,username,is_correct,time_spent,hints_used,attempt_number,created_at
migr_01_1001,ivan_zachetniy,TRUE,285,0,1,2025-07-14T09:15:00
migr_01_1002,ivan_zachetniy,TRUE,278,0,1,2025-07-14T09:32:00
migr_01_1003,ivan_zachetniy,TRUE,292,0,1,2025-07-14T09:45:00
migr_01_1004,ivan_zachetniy,TRUE,287,0,1,2025-07-14T09:58:00
migr_01_1005,ivan_zachetniy,TRUE,283,0,1,2025-07-14T10:12:00
migr_01_1006,ivan_zachetniy,TRUE,275,0,1,2025-07-15T10:18:00
migr_01_1007,ivan_zachetniy,TRUE,289,0,1,2025-07-15T10:35:00
migr_01_1008,ivan_zachetniy,TRUE,294,0,1,2025-07-15T10:52:00
migr_01_1009,ivan_zachetniy,TRUE,281,0,1,2025-07-15T11:09:00
migr_01_1010,ivan_zachetniy,TRUE,276,0,1,2025-07-15T11:25:00
migr_01_1011,ivan_zachetniy,TRUE,298,0,1,2025-07-16T11:14:00
migr_01_1012,ivan_zachetniy,TRUE,285,0,1,2025-07-16T11:32:00
migr_01_1013,ivan_zachetniy,TRUE,271,0,1,2025-07-16T11:48:00
migr_01_1014,ivan_zachetniy,TRUE,292,0,1,2025-07-16T12:05:00
migr_01_1015,ivan_zachetniy,TRUE,279,0,1,2025-07-16T12:21:00
migr_01_1016,ivan_zachetniy,TRUE,288,0,1,2025-07-17T09:17:00
migr_01_1017,ivan_zachetniy,TRUE,274,0,1,2025-07-17T09:34:00
migr_01_1018,ivan_zachetniy,TRUE,296,0,1,2025-07-17T09:51:00
migr_01_1019,ivan_zachetniy,TRUE,282,0,1,2025-07-17T10:08:00
migr_01_1020,ivan_zachetniy,TRUE,287,0,1,2025-07-17T10:24:00
migr_01_2001,ivan_zachetniy,TRUE,279,0,1,2025-07-21T09:05:00
migr_01_2002,ivan_zachetniy,TRUE,275,0,1,2025-07-21T09:15:00
migr_01_2003,ivan_zachetniy,TRUE,271,0,1,2025-07-21T09:25:00
migr_01_2004,ivan_zachetniy,TRUE,284,0,1,2025-07-21T09:35:00
migr_01_2005,ivan_zachetniy,TRUE,278,0,1,2025-07-21T09:45:00
migr_01_2006,ivan_zachetniy,TRUE,273,0,1,2025-07-21T09:55:00
migr_01_2007,ivan_zachetniy,TRUE,276,0,1,2025-07-21T10:05:00
migr_01_2008,ivan_zachetniy,TRUE,281,0,1,2025-07-21T10:15:00
migr_01_2009,ivan_zachetniy,TRUE,274,0,1,2025-07-21T10:25:00
migr_01_2010,ivan_zachetniy,TRUE,285,0,1,2025-07-21T10:35:00
migr_01_2011,ivan_zachetniy,TRUE,277,0,1,2025-07-21T10:45:00
migr_01_2012,ivan_zachetniy,TRUE,272,0,1,2025-07-21T10:55:00
migr_01_2013,ivan_zachetniy,TRUE,283,0,1,2025-07-22T10:08:00
migr_01_2014,ivan_zachetniy,TRUE,276,0,1,2025-07-22T10:20:00
migr_01_2015,ivan_zachetniy,TRUE,279,0,1,2025-07-22T10:32:00
migr_01_2016,ivan_zachetniy,TRUE,274,0,1,2025-07-22T10:44:00
migr_01_2017,ivan_zachetniy,TRUE,281,0,1,2025-07-22T10:56:00
migr_01_2018,ivan_zachetniy,TRUE,278,0,1,2025-07-22T11:08:00
migr_01_2019,ivan_zachetniy,TRUE,275,0,1,2025-07-22T11:20:00
migr_01_2020,ivan_zachetniy,TRUE,284,0,1,2025-07-22T11:32:00
migr_01_3001,ivan_zachetniy,TRUE,275,0,1,2025-07-28T09:12:00
migr_01_3002,ivan_zachetniy,TRUE,281,0,1,2025-07-28T09:28:00
migr_01_3003,ivan_zachetniy,TRUE,278,0,1,2025-07-28T09:44:00
migr_01_3004,ivan_zachetniy,TRUE,274,0,1,2025-07-28T10:00:00
migr_01_3005,ivan_zachetniy,TRUE,283,0,1,2025-07-28T10:16:00
migr_01_3006,ivan_zachetniy,TRUE,276,0,1,2025-07-29T10:14:00
migr_01_3007,ivan_zachetniy,TRUE,272,0,1,2025-07-29T10:30:00
migr_01_3008,ivan_zachetniy,TRUE,285,0,1,2025-07-29T10:46:00
migr_01_3009,ivan_zachetniy,TRUE,279,0,1,2025-07-29T11:02:00
migr_01_3010,ivan_zachetniy,TRUE,277,0,1,2025-07-29T11:18:00
migr_01_3011,ivan_zachetniy,TRUE,284,0,1,2025-07-30T11:07:00
migr_01_3012,ivan_zachetniy,TRUE,280,0,1,2025-07-30T11:23:00
migr_01_3013,ivan_zachetniy,TRUE,273,0,1,2025-07-30T11:39:00
migr_01_3014,ivan_zachetniy,TRUE,282,0,1,2025-07-30T11:55:00
migr_01_3015,ivan_zachetniy,TRUE,276,0,1,2025-07-30T12:11:00
migr_01_3016,ivan_zachetniy,TRUE,278,0,1,2025-07-31T09:19:00
migr_01_3017,ivan_zachetniy,TRUE,285,0,1,2025-07-31T09:35:00
migr_01_3018,ivan_zachetniy,TRUE,271,0,1,2025-07-31T09:51:00
migr_01_3019,ivan_zachetniy,TRUE,279,0,1,2025-07-31T10:07:00
migr_01_3020,ivan_zachetniy,TRUE,283,0,1,2025-07-31T10:23:00
