task_code,username,is_correct,time_spent,hints_used,attempt_number,created_at
migr_01_1001,petr_zaletniy,FALSE,315,0,1,2025-07-14T10:25:00
migr_01_1001,petr_zaletniy,TRUE,328,1,2,2025-07-14T10:27:00
migr_01_1002,petr_zaletniy,TRUE,304,0,1,2025-07-14T11:42:00
migr_01_1003,petr_zaletniy,FALSE,312,0,1,2025-07-14T14:18:00
migr_01_1003,petr_zaletniy,FALSE,318,1,2,2025-07-14T14:20:00
migr_01_1003,petr_zaletniy,TRUE,330,0,3,2025-07-14T14:22:00
migr_01_1004,petr_zaletniy,TRUE,295,0,1,2025-07-15T09:34:00
migr_01_1005,petr_zaletniy,FALSE,308,0,1,2025-07-15T12:45:00
migr_01_1005,petr_zaletniy,TRUE,324,1,2,2025-07-15T12:47:00
migr_01_1006,petr_zaletniy,TRUE,301,0,1,2025-07-15T15:22:00
migr_01_1007,petr_zaletniy,FALSE,314,0,1,2025-07-16T11:18:00
migr_01_1007,petr_zaletniy,FALSE,320,0,2,2025-07-16T11:20:00
migr_01_1007,petr_zaletniy,TRUE,329,1,3,2025-07-16T11:22:00
migr_01_1008,petr_zaletniy,TRUE,298,0,1,2025-07-16T13:56:00
migr_01_1009,petr_zaletniy,FALSE,306,0,1,2025-07-16T15:11:00
migr_01_1009,petr_zaletniy,TRUE,325,0,2,2025-07-16T15:13:00
migr_01_1010,petr_zaletniy,TRUE,292,0,1,2025-07-17T10:28:00
migr_01_1011,petr_zaletniy,FALSE,317,0,1,2025-07-17T14:39:00
migr_01_1011,petr_zaletniy,TRUE,323,1,2,2025-07-17T14:41:00
migr_01_1012,petr_zaletniy,TRUE,299,0,1,2025-07-17T16:15:00
migr_01_1013,petr_zaletniy,TRUE,296,0,1,2025-07-18T12:33:00
migr_01_1014,petr_zaletniy,FALSE,311,0,1,2025-07-18T14:47:00
migr_01_1014,petr_zaletniy,TRUE,327,0,2,2025-07-18T14:49:00
migr_01_1015,petr_zaletniy,TRUE,303,0,1,2025-07-18T15:58:00
migr_01_1016,petr_zaletniy,TRUE,290,0,1,2025-07-19T11:25:00
migr_01_1017,petr_zaletniy,FALSE,319,0,1,2025-07-19T13:48:00
migr_01_1017,petr_zaletniy,TRUE,330,1,2,2025-07-19T13:50:00
migr_01_1018,petr_zaletniy,TRUE,295,0,1,2025-07-19T15:30:00
migr_01_1019,petr_zaletniy,FALSE,320,0,1,2025-07-20T10:15:00
migr_01_1019,petr_zaletniy,TRUE,325,0,2,2025-07-20T10:17:00
migr_01_1020,petr_zaletniy,TRUE,288,0,1,2025-07-20T11:45:00
migr_01_2001,petr_zaletniy,FALSE,312,0,1,2025-07-21T10:17:00
migr_01_2001,petr_zaletniy,FALSE,324,0,2,2025-07-21T10:19:00
migr_01_2001,petr_zaletniy,TRUE,335,1,3,2025-07-21T10:21:00
migr_01_2002,petr_zaletniy,FALSE,318,0,1,2025-07-21T13:42:00
migr_01_2002,petr_zaletniy,TRUE,329,0,2,2025-07-21T13:44:00
migr_01_2003,petr_zaletniy,TRUE,305,0,1,2025-07-21T15:26:00
migr_01_2004,petr_zaletniy,FALSE,315,0,1,2025-07-21T16:35:00
migr_01_2005,petr_zaletniy,FALSE,321,0,1,2025-07-22T09:53:00
migr_01_2005,petr_zaletniy,FALSE,328,1,2,2025-07-22T09:55:00
migr_01_2005,petr_zaletniy,FALSE,334,0,3,2025-07-22T09:57:00
