task_code,username,is_correct,time_spent,hints_used,attempt_number,created_at
migr_01_1001,vitia_srednyachok,FALSE,342,0,1,2025-07-14T09:23:00
migr_01_1001,vitia_srednyachok,FALSE,351,1,2,2025-07-14T09:25:00
migr_01_1001,vitia_srednyachok,TRUE,360,0,3,2025-07-14T09:27:00
migr_01_1002,vitia_srednyachok,FALSE,338,1,1,2025-07-14T11:45:00
migr_01_1002,vitia_srednyachok,TRUE,356,0,2,2025-07-14T11:47:00
migr_01_1003,vitia_srednyachok,FALSE,335,0,1,2025-07-15T10:32:00
migr_01_1003,vitia_srednyachok,FALSE,348,1,2,2025-07-15T10:34:00
migr_01_1003,vitia_srednyachok,TRUE,359,2,3,2025-07-15T10:36:00
migr_01_1004,vitia_srednyachok,FALSE,340,0,1,2025-07-15T13:18:00
migr_01_1004,vitia_srednyachok,TRUE,352,1,2,2025-07-15T13:20:00
migr_01_1005,vitia_srednyachok,FALSE,344,1,1,2025-07-16T09:27:00
migr_01_1005,vitia_srednyachok,FALSE,355,0,2,2025-07-16T09:29:00
migr_01_1005,vitia_srednyachok,TRUE,360,2,3,2025-07-16T09:31:00
migr_01_1006,vitia_srednyachok,TRUE,325,0,1,2025-07-16T12:43:00
migr_01_1007,vitia_srednyachok,FALSE,336,0,1,2025-07-17T11:15:00
migr_01_1007,vitia_srednyachok,FALSE,347,1,2,2025-07-17T11:17:00
migr_01_1007,vitia_srednyachok,TRUE,358,0,3,2025-07-17T11:19:00
migr_01_1008,vitia_srednyachok,FALSE,341,1,1,2025-07-17T14:52:00
migr_01_1008,vitia_srednyachok,TRUE,354,0,2,2025-07-17T14:54:00
migr_01_1009,vitia_srednyachok,FALSE,333,0,1,2025-07-18T10:38:00
migr_01_1009,vitia_srednyachok,FALSE,349,2,2,2025-07-18T10:40:00
migr_01_1009,vitia_srednyachok,TRUE,357,1,3,2025-07-18T10:42:00
migr_01_1010,vitia_srednyachok,TRUE,319,0,1,2025-07-18T13:25:00
